cat_num,format,parent_species,recordist,year,date_uploaded,asset_restricted,behaviors,age_sex,ml_collection_type,average_community_rating
395974921,audio,Anser albifrons,Radovan Václav,2021,12/14/2021,Public,Flight Call,,,0
389843891,audio,Anser albifrons,Dermot Breen,2021,11/21/2021,Public,Flight Call; Flying,,,0
226895381,audio,Anser albifrons,Ben Evans,2020,4/24/2020,Public,,,,1
324339441,audio,Anser albifrons,Hans Norelius,2021,4/8/2021,Public,Call,,,3
393205081,audio,Anser albifrons,Bemma Watson Hernandez,2021,12/4/2021,Public,,,,3
538325121,audio,Anser albifrons,David Guarnieri,2023,2/22/2023,Public,,,,0
213414021,audio,Anser albifrons,Mark Greene,2020,3/4/2020,Public,,,,2.25
296614681,audio,Anser albifrons,matthew sabatine,2021,1/10/2021,Public,Call,,,3
492704321,audio,Anser albifrons,Herb Elliott,2022,10/11/2022,Public,,,,1
121210031,audio,Anser albifrons,Jordan Gunn,2018,10/29/2018,Public,Call,,,2.8
304645,audio,Anser fabalis,Peter Boesman,2008,12/15/2020,Public,Call,,archive,3
136028961,audio,Anser fabalis,James (Jim) Holmes,2019,1/20/2019,Public,Call,,,3.4
304646,audio,Anser fabalis,Peter Boesman,2008,12/15/2020,Public,Call,,archive,3.8
203942931,audio,Anser fabalis,Eric francois Roualet,2013,2/3/2020,Public,Call,,,3
248461,audio,Anser fabalis,Niels Krabbe,2010,12/17/2018,Public,Call; flock,,archive,2.8
125449551,audio,Anser fabalis,Dave Andrews,2018,11/26/2018,Public,,,,2.2
404373191,audio,Anser fabalis,David Darrell-Lambert,2019,1/10/2022,Public,,,,2.67
240251,audio,Anser fabalis,Niels Krabbe,1983,12/17/2018,Public,Call,,archive,3
65388401,audio,Anser fabalis,Jelmer Poelstra,2012,8/6/2017,Public,Flight Call,Unknown,,3.4
248463,audio,Anser fabalis,Niels Krabbe,2010,12/17/2018,Public,Call,,archive,3.2
65388081,audio,Anser fabalis,Jelmer Poelstra,2012,8/6/2017,Public,Flight Call,Unknown,,3.4
404373181,audio,Anser fabalis,David Darrell-Lambert,2019,1/10/2022,Public,,,,2.6
248464,audio,Anser fabalis,Niels Krabbe,2010,12/17/2018,Public,Call; flock; Flying,,archive,3.8
210128071,audio,Anser fabalis,Steve Bale,2020,2/18/2020,Public,,,,3
287843621,audio,Anser fabalis,Jina Yi,2019,12/13/2020,Public,Call,,,3.2
304649,audio,Anser fabalis,Peter Boesman,2008,12/15/2020,Public,Call,,archive,3.4
63154151,audio,Anser fabalis,Eetu Paljakka,2017,7/12/2017,Public,Flight Call,Adult,,3.71
65387831,audio,Anser fabalis,Jelmer Poelstra,2012,8/6/2017,Public,Flight Call,Unknown,,3.71
519430341,audio,Anser fabalis,Christian Rixen,2022,1/2/2023,Public,,,,1
147016491,audio,Apus apus,William Benish,2015,3/24/2019,Public,,,,2.25
593643521,audio,Apus apus,Lukáš Váňa,2023,7/13/2023,Public,,,,3
354134111,audio,Apus apus,Tamas Zeke,2021,7/13/2021,Public,Call; Flying,,,4.83
326855051,audio,Apus apus,Itay Berger,2021,4/16/2021,Public,,,,2.67
328649441,audio,Apus apus,Diogo  Portela,2021,4/21/2021,Public,Call,Unknown – 1,,3.67
580586861,audio,Apus apus,Volkan Donbaloglu,2023,6/3/2023,Public,,,,3.5
492766521,audio,Apus apus,Pedro Cardia,2022,10/11/2022,Public,Flight Call; Flying,,,1.33
214834791,audio,Apus apus,Gabriel Leite,2017,3/11/2020,Public,Flight Call,,,3
353199891,audio,Apus apus,Евгения Смирнова,2021,7/9/2021,Public,,,,2
250303051,audio,Apus apus,Aitor Zabala,2020,7/19/2020,Public,,,,3.33
603341731,audio,Apus apus,Jérémy Calvo,2023,8/14/2023,Public,Flight Call; Flying,Unknown – 1,,4.5
471019281,audio,Apus apus,Mathieu Soetens,2022,7/29/2022,Public,,,,3.67
586814901,audio,Apus apus,Herb Elliott,2023,6/20/2023,Public,,,,3.5
466346081,audio,Apus apus,Martina  Veselić,2022,7/10/2022,Public,,,,1.67
584248571,audio,Apus apus,Liliya Markova,2023,6/13/2023,Public,,,,1
458714101,audio,Apus apus,Anonymous,2022,6/12/2022,Public,,,,4
592403441,audio,Apus apus,Fernando Alonso,2023,7/9/2023,Public,Flight Call; Flight Song; Flying,,,3
251609021,audio,Apus apus,Haris Omano,2020,7/26/2020,Public,,,,4.67
573143461,audio,Apus apus,Tom Bedford,2023,5/16/2023,Public,Flight Song,,,2.5
353440311,audio,Apus apus,Anonymous,2021,7/10/2021,Public,,,,4.5
460695511,audio,Apus apus,gab zeke,2022,6/19/2022,Public,,,,3.67
351494331,audio,Apus apus,Lars Mannzen,2021,7/1/2021,Public,,,,2.33
254235441,audio,Apus apus,African Googre,2020,8/8/2020,Public,Flight Call; Flying,,,3.75
225964931,audio,Apus apus,Francisco Javier  Calvo lesmes,2020,4/21/2020,Public,,,,1.67
248946081,audio,Apus apus,Santiago Caballero Carrera,2020,7/12/2020,Public,Call; Flight Call,,,4.33
153914391,audio,Apus apus,Anonymous,2017,4/26/2019,Public,Flight Call,,,2.75
594916381,audio,Apus apus,Kevin Gong,2023,7/17/2023,Public,,,,0
592173871,audio,Apus apus,Juan Pérez,2023,7/8/2023,Public,Flight Song,,,3
472473741,audio,Apus apus,Ramit Singal,2022,8/4/2022,Public,Flight Call; Flying,Adult – 3,,4
353711171,audio,Apus apus,Fernando T Rico,2021,7/11/2021,Public,Flight Call,,,3.67
584997761,audio,Apus apus,Jorge Rodal,2023,6/15/2023,Public,Flight Call,,,2
180582361,audio,Apus apus,Jorge Leitão,2019,10/5/2019,Public,,,,1.67
241422951,audio,Apus apus,Fernando T Rico,2020,6/6/2020,Public,,,,2.67
146569271,audio,Apus apus,Frank Fabbro,2018,3/21/2019,Public,,,,2.25
595735851,audio,Apus apus,João Tomás,2023,7/20/2023,Public,Flight Call,,,5
320928581,audio,Apus apus,Bruno Morais,2021,3/29/2021,Public,,,,3
462087331,audio,Apus apus,Martina  Veselić,2022,6/24/2022,Public,,,,1
467660011,audio,Apus apus,Martina  Veselić,2022,7/16/2022,Public,,,,2.33
599045591,audio,Apus apus,Fernando T Rico,2023,7/31/2023,Public,,,,3
65559411,audio,Apus apus,Nicholas Allen,2017,8/8/2017,Public,Call,,,3.56
222959281,audio,Apus apus,Alan  Troyer,2020,4/12/2020,Public,,,,3.25
244598881,audio,Apus apus,Fernando T Rico,2020,6/20/2020,Public,,,,3.67
340494541,audio,Apus apus,Pedro Cardia,2021,5/20/2021,Public,"Courtship, Display, or Copulation; Flight Call; Flying",,,2.67
568796121,audio,Apus apus,Anonymous,2023,5/8/2023,Public,,,,4
244527511,audio,Apus apus,Simon Colenutt,2020,6/20/2020,Public,Flight Song; Flying,Unknown – 15,,4.5
599366601,audio,Apus apus,Carlos Otávio Gussoni,2023,8/1/2023,Public,Flight Song,,,0
240492691,audio,Apus apus,Anonymous,2020,6/2/2020,Public,,,,3.33
354197741,audio,Apus apus,Fernando T Rico,2021,7/13/2021,Public,,,,4.33
468707641,audio,Apus apus,Martina  Veselić,2022,7/20/2022,Public,,,,1.67
239966331,audio,Apus apus,Fernando T Rico,2020,5/31/2020,Public,,,,3.33
583246301,audio,Apus apus,Anonymous,2023,6/10/2023,Public,,,,3
583533411,audio,Apus apus,Vivian Young,2023,6/11/2023,Public,,,,2
239059451,audio,Apus apus,Nelson Conceição,2020,5/27/2020,Public,Carrying Food; Feeding Young; Flight Call,,,4.75
245239091,audio,Apus apus,André  Zambolli,2020,6/23/2020,Public,,,,3.33
324861491,audio,Apus apus,Jorge Leitão,2021,4/10/2021,Public,Flight Call,,,4.33
167561591,audio,Apus apus,Nelson Conceição,2019,7/9/2019,Public,Flight Call,,,3.33
239059581,audio,Apus apus,Nelson Conceição,2020,5/27/2020,Public,Carrying Food; Feeding Young; Flight Call,,,3
320928561,audio,Apus apus,Bruno Morais,2021,3/29/2021,Public,,,,2.67
577807671,audio,Apus apus,Anonymous,2023,5/27/2023,Public,Flight Call,,,4.5
462181531,audio,Apus apus,Dan Wiessner,2022,6/24/2022,Public,,,,2.33
93985,audio,Apus apus,Linda Macaulay,1995,7/20/2016,Public,Call; Flying; Non-vocal,,archive,2.5
329661581,audio,Apus apus,Fernando T Rico,2021,4/24/2021,Public,Flying,,,4
580970681,audio,Apus apus,Petr Pivoda,2023,6/4/2023,Public,,,,2.5
492799381,audio,Apus apus,Pedro Cardia,2021,10/11/2022,Public,Flight Call,,,2.33
155416571,audio,Apus apus,Jacob Spinks,2019,5/2/2019,Public,Flight Call,Unknown,,2.6
345380051,audio,Apus apus,Anonymous,2021,6/5/2021,Public,,,,3.67
582749201,audio,Apus apus,Peter Boesman,2023,6/9/2023,Public,Flight Call; Flying,,,1.67
233538901,audio,Apus apus,Jorge Leitão,2020,5/11/2020,Public,Flight Call,,,3.5
423533941,audio,Apus apus,(Ai)Tao Liu,2021,3/9/2022,Public,Call; Flying,,,3
240492251,audio,Apus apus,Anonymous,2020,6/2/2020,Public,,,,4
568799341,audio,Apus apus,Anonymous,2023,5/8/2023,Public,,,,3.5
458714521,audio,Apus apus,Anonymous,2022,6/12/2022,Public,Flight Call,,,2
568796091,audio,Apus apus,Anonymous,2023,5/8/2023,Public,,,,3
348277791,audio,Apus apus,Javier Prieta,2021,6/16/2021,Public,,,,3.33
340891201,audio,Apus apus,Santiago Caballero Carrera,2021,5/21/2021,Public,Flight Call; Flying,,,4.33
340286511,audio,Apus apus,Pedro Cardia,2021,5/19/2021,Public,"Courtship, Display, or Copulation; Flight Call; Flying",,,4
575402551,audio,Apus apus,Alfonso Rodrigo,2023,5/21/2023,Public,,,,2.5
320930811,audio,Apus apus,Bruno Morais,2021,3/29/2021,Public,,,,2.67
251457491,audio,Apus apus,Craig Robson,2020,7/25/2020,Public,Flight Call; Flying,Adult – 1,,3.33
352899861,audio,Apus apus,Анастасия Булахова,2021,7/7/2021,Public,,,,2.33
458714261,audio,Apus apus,Anonymous,2022,6/12/2022,Public,Flight Call,,,3.5
446674581,audio,Apus apus,João Cordeiro,2022,5/10/2022,Public,,,,4
462602611,audio,Apus apus,Pietro Melandri,2022,6/26/2022,Public,,,,4.25
466266331,audio,Apus apus,Fernando T Rico,2022,7/10/2022,Public,,,,3
466266401,audio,Apus apus,Fernando T Rico,2022,7/10/2022,Public,,,,4.33
581100071,audio,Apus apus,Oliver Burton,2023,6/4/2023,Public,Flight Call,,,1.5
457730631,audio,Apus apus,Alexander Lees,2022,6/8/2022,Public,,,,2.5
105539231,audio,Apus apus,Orlando Jarquín,2018,6/25/2018,Public,Flight Song,Adult,,3
386675541,audio,Apus apus,Adrien Mauss,2021,11/9/2021,Public,Flight Call,,,4
350205121,audio,Apus apus,Jorge Leitão,2021,6/25/2021,Public,Flight Call,Unknown – 5,,4.33
526879631,audio,Apus apus,Joe Parham,2022,1/22/2023,Public,,,,3.67
239059851,audio,Apus apus,Vladimir Malinin,2020,5/27/2020,Public,,,,3.33
386674891,audio,Apus apus,Adrien Mauss,2021,11/9/2021,Public,Flight Call,,,3.5
139929461,audio,Apus apus,Stuart Fisher,2007,2/10/2019,Public,Call,,,2.67
464717111,audio,Apus apus,Javier Morala/MCBirding.com,2022,7/4/2022,Public,Flight Call; Flying,,,4
588218461,audio,Apus apus,Aitor Zabala,2023,6/25/2023,Public,Flight Call; Flying,,,4.5
278176,audio,Apus apus,Peter Boesman,2016,4/8/2020,Public,Call,,archive,3.33
353436071,audio,Apus apus,Anonymous,2021,7/10/2021,Public,,,,3.5
151385171,audio,Apus apus,Jorge Leitão,2019,4/16/2019,Public,,,,1.5
345379951,audio,Apus apus,Anonymous,2021,6/5/2021,Public,,,,3.67
427418261,audio,Chroicocephalus ridibundus,Simon Colenutt,2022,3/21/2022,Public,,,,4
412609921,audio,Chroicocephalus ridibundus,Connor Proudfoot,2022,2/3/2022,Public,,,,2.67
235340,audio,Chroicocephalus ridibundus,Bob McGuire,2018,9/4/2018,Public,Call,Adult – 3,archive,3
505556041,audio,Chroicocephalus ridibundus,Cole  Sites,2022,11/20/2022,Public,,,,3.67
316497981,audio,Chroicocephalus ridibundus,Craig Robson,2021,3/14/2021,Public,,,,3.5
204468,audio,Chroicocephalus ridibundus,Gregory Budney,2000,7/20/2016,Public,Call,Unknown – 2,archive,2
413074691,audio,Chroicocephalus ridibundus,Daniel Brzdęk,2021,2/5/2022,Public,,,,2
382630001,audio,Chroicocephalus ridibundus,Adrien Mauss,2021,10/25/2021,Public,Flight Call,,,4
103195621,audio,Chroicocephalus ridibundus,Oliver Burton,2018,6/4/2018,Public,Call; Flight Call,,,2.75
231196,audio,Chroicocephalus ridibundus,Bob McGuire,2017,2/26/2018,Public,Call,Adult – 1,archive,2.67
173466031,audio,Chroicocephalus ridibundus,Nelson Conceição,2019,8/21/2019,Public,Call,,,4
581100091,audio,Chroicocephalus ridibundus,Oliver Burton,2023,6/4/2023,Public,Call; Feeding Young; Flying,,,3.33
597135051,audio,Chroicocephalus ridibundus,Eaton Ekarintaragun,2023,7/24/2023,Public,,,,4
447956791,audio,Chroicocephalus ridibundus,Fernando T Rico,2022,5/13/2022,Public,,,,3.33
586189371,audio,Chroicocephalus ridibundus,Tom Bedford,2023,6/19/2023,Public,Call,Adult – 1,,3.5
142937121,audio,Chroicocephalus ridibundus,Jorge Leitão,2019,2/27/2019,Public,Call,,,3
596300141,audio,Chroicocephalus ridibundus,Amy Maranto,2023,7/22/2023,Public,,,,1
425422561,audio,Chroicocephalus ridibundus,Steve Thorpe,2021,3/15/2022,Public,,,,4.67
552475621,audio,Chroicocephalus ridibundus,Anonymous,2023,4/2/2023,Public,Flight Call; Flying,,,2
526448311,audio,Chroicocephalus ridibundus,Jorge Leitão,2023,1/21/2023,Public,Flight Call,,,4
207454691,audio,Chroicocephalus ridibundus,Sam Creighton,2014,2/5/2020,Public,Call; Feeding Young,,,3
78654931,audio,Chroicocephalus ridibundus,Ramit Singal,2017,12/19/2017,Public,Flight Call,Adult,,3.33
109688211,audio,Chroicocephalus ridibundus,Barry Day,2018,8/4/2018,Public,Call,Adult,,3
430515451,audio,Chroicocephalus ridibundus,Daniel Brzdęk,2022,3/31/2022,Public,Flight Call,,,4
277487261,audio,Chroicocephalus ridibundus,Houman Doroudi,2020,11/5/2020,Public,Call; Song,Adult – 2,,4.33
82490081,audio,Chroicocephalus ridibundus,Frank King,2018,1/18/2018,Public,Call,,,3.25
254730991,audio,Chroicocephalus ridibundus,Fernando T Rico,2020,8/10/2020,Public,Call,Adult – 3,,4
473810181,audio,Chroicocephalus ridibundus,Kepa Alkiza,2022,8/9/2022,Public,,,,4.5
36169421,audio,Chroicocephalus ridibundus,Nick Komar,2016,9/28/2016,Public,Call,Adult,,1.67
593903851,audio,Chroicocephalus ridibundus,Paolo Matteucci,2023,7/14/2023,Public,,,,4
482619561,audio,Chroicocephalus ridibundus,Jorge Rodal,2022,9/9/2022,Public,,,,3.75
319138381,audio,Chroicocephalus ridibundus,Peter Alfrey,2021,3/23/2021,Public,,,,2
607164151,audio,Chroicocephalus ridibundus,Elver G,2022,8/26/2023,Public,Call,Adult – 3,,0
261021251,audio,Chroicocephalus ridibundus,www.aladdin .st,2018,9/7/2020,Public,Flying,,,3.5
401997751,audio,Chroicocephalus ridibundus,Ryan O'Donnell,2021,1/3/2022,Public,Call,Adult – 1,,4.67
577913041,audio,Chroicocephalus ridibundus,Patrice Dubus,2022,5/27/2023,Public,,,,4
455747311,audio,Chroicocephalus ridibundus,Anonymous,2022,6/1/2022,Public,Call,,,1.67
216066181,audio,Chroicocephalus ridibundus,Lees-Moura Autonomous Recorders,2020,3/17/2020,Public,Flight Call,,,2.4
260520431,audio,Chroicocephalus ridibundus,Lindsay Rowe,2020,9/6/2020,Public,,,,3
202344441,audio,Chroicocephalus ridibundus,Itziar Gutiérrez Uranga 🪶,2020,1/23/2020,Public,,,,4.25
244157431,audio,Chroicocephalus ridibundus,Huw Lloyd,2020,6/18/2020,Public,,,,1.75
501426041,audio,Chroicocephalus ridibundus,Haris Omano,2022,11/7/2022,Public,,,,3
299113621,audio,Chroicocephalus ridibundus,Miles Brengle,2021,1/18/2021,Public,Call; Flying,Adult – 1,,1.75
278801541,audio,Chroicocephalus ridibundus,Alejandro Garcia,2020,11/9/2020,Public,,,,3.5
428144091,audio,Chroicocephalus ridibundus,Shilpa Gadgil,2022,3/24/2022,Public,,,,3
325130221,audio,Chroicocephalus ridibundus,Daniel Brzdęk,2021,4/11/2021,Public,,,,3.75
308122791,audio,Chroicocephalus ridibundus,William Whitehead,2021,2/15/2021,Public,Call,Adult – 1,,4
248833051,audio,Chroicocephalus ridibundus,Iñaki Busturia Cerezo,2020,7/11/2020,Public,,,,3.5
300796861,audio,Chroicocephalus ridibundus,James Court,2021,1/24/2021,Public,,,,3.25
319138391,audio,Chroicocephalus ridibundus,Peter Alfrey,2021,3/23/2021,Public,,,,1.33
480483491,audio,Chroicocephalus ridibundus,Fernando T Rico,2022,9/2/2022,Public,,,,4
75748411,audio,Chroicocephalus ridibundus,William Hull,2017,11/20/2017,Public,,,,3
607020271,audio,Chroicocephalus ridibundus,Kriss Replogle,2023,8/25/2023,Public,Call,,,4
471418421,audio,Chroicocephalus ridibundus,Ramit Singal,2022,7/31/2022,Public,Flying,Adult – 1,,2.67
532273281,audio,Chroicocephalus ridibundus,Heather Chenery,2023,2/6/2023,Public,Flight Call,Adult – 5,,3.75
440107661,audio,Chroicocephalus ridibundus,Bemma Watson Hernandez,2022,4/25/2022,Public,,,,2.67
151174001,audio,Chroicocephalus ridibundus,Jorge Leitão,2018,4/15/2019,Public,Call,,,3.5
131925611,audio,Chroicocephalus ridibundus,Ayşenur Akgün,2018,12/30/2018,Public,,,,3.4
552473921,audio,Chroicocephalus ridibundus,Anonymous,2023,4/2/2023,Public,Flight Call; Flying,Unknown – 2,,2.67
292814361,audio,Chroicocephalus ridibundus,Miguel Rouco,2020,12/31/2020,Public,,,,3.75
311864921,audio,Chroicocephalus ridibundus,Haris Omano,2021,2/27/2021,Public,,,,4.25
428144111,audio,Chroicocephalus ridibundus,Shilpa Gadgil,2022,3/24/2022,Public,,,,1
395306491,audio,Chroicocephalus ridibundus,Joren van Schie,2020,12/12/2021,Public,,,,3
553466081,audio,Chroicocephalus ridibundus,Sreekumar Chirukandoth,2023,4/4/2023,Public,,,,3.67
206394671,audio,Chroicocephalus ridibundus,Itziar Gutiérrez Uranga 🪶,2020,1/31/2020,Public,,,,2.5
371563271,audio,Chroicocephalus ridibundus,Ingo Rösler,2021,9/22/2021,Public,,,,4.33
381350471,audio,Chroicocephalus ridibundus,Christian Rixen,2021,10/21/2021,Public,,,,2.33
281127351,audio,Chroicocephalus ridibundus,Paulo Narciso,2020,11/19/2020,Public,Flight Call,,,4.5
82430561,audio,Chroicocephalus ridibundus,William Hull,2017,1/18/2018,Public,,,,3
91096491,audio,Chroicocephalus ridibundus,Alexander Lees,2018,3/24/2018,Public,Flight Call,,,1.75
469925181,audio,Chroicocephalus ridibundus,Fernando T Rico,2022,7/25/2022,Public,,,,3
477886921,audio,Chroicocephalus ridibundus,Francisco Molinero,2022,8/24/2022,Public,,,,3.33
475716421,audio,Chroicocephalus ridibundus,A Emmerson,2022,8/16/2022,Public,,Adult,,2.75
215007731,audio,Chroicocephalus ridibundus,Sue Riffe,2019,3/12/2020,Public,,,,3.5
425684061,audio,Chroicocephalus ridibundus,NFC Station,2022,3/16/2022,Public,Flight Call; Flying,,,1
473809791,audio,Chroicocephalus ridibundus,Kepa Alkiza,2022,8/9/2022,Public,,,,4
519925451,audio,Chroicocephalus ridibundus,Jorge Leitão,2022,1/3/2023,Public,Call,,,5
185463301,audio,Chroicocephalus ridibundus,Ray Scally,2019,11/2/2019,Public,,,,2
434384001,audio,Chroicocephalus ridibundus,Jeffrey Roth,2022,4/11/2022,Public,,,,3
546701811,audio,Chroicocephalus ridibundus,African Googre,2023,3/18/2023,Public,Flying,Adult – 3,,2.67
231175,audio,Chroicocephalus ridibundus,Bob McGuire,2017,2/26/2018,Public,Call,Adult – 6,archive,3.57
125642721,audio,Chroicocephalus ridibundus,Pradnyavant Mane,2018,11/28/2018,Public,Call,Unknown,,3.5
554176121,audio,Chroicocephalus ridibundus,Sreekumar Chirukandoth,2023,4/6/2023,Public,,,,1.67
531448801,audio,Chroicocephalus ridibundus,Sever Nagulov,2023,2/4/2023,Public,,,,4
486151991,audio,Chroicocephalus ridibundus,Jeffrey Roth,2022,9/21/2022,Public,Call; Foraging or Eating,,,4
439300401,audio,Chroicocephalus ridibundus,Ivan V,2022,4/24/2022,Public,,,,2.67
245947081,audio,Chroicocephalus ridibundus,Nikita Panfilov,2020,6/27/2020,Public,,,,3.25
594475711,audio,Chroicocephalus ridibundus,Oliver Burton,2023,7/16/2023,Public,Call; Foraging or Eating,,,3
181688,audio,Chroicocephalus ridibundus,Gregory Budney,2013,7/20/2016,Public,Call; Flying,Adult – 2,archive,2
563764141,audio,Chroicocephalus ridibundus,u7 Liao,2023,4/27/2023,Public,,,,4.33
512512451,audio,Chroicocephalus ridibundus,Fernando T Rico,2022,12/12/2022,Public,,,,3.67
553106781,audio,Chroicocephalus ridibundus,Joe Parham,2023,4/3/2023,Public,,,,4.33
51961311,audio,Chroicocephalus ridibundus,Ting-Wei (廷維) HUNG (洪),2017,3/22/2017,Public,Call,,,3.25
191506381,audio,Chroicocephalus ridibundus,Nelson Conceição,2019,12/5/2019,Public,Call,,,2.75
537981441,audio,Chroicocephalus ridibundus,Pedro Moreira,2023,2/21/2023,Public,,,,2.25
518712041,audio,Chroicocephalus ridibundus,Daniel Garrigues,2022,12/31/2022,Public,,,,4.25
408217991,audio,Chroicocephalus ridibundus,Jorge Leitão,2022,1/21/2022,Public,Call,Unknown – 3,,4
191506281,audio,Chroicocephalus ridibundus,Nelson Conceição,2019,12/5/2019,Public,Call,,,3.75
311448721,audio,Chroicocephalus ridibundus,Mark Lewis,2021,2/25/2021,Public,Call; Flight Call; Flying,Unknown – 1,,2.75
340317711,audio,Chroicocephalus ridibundus,João  Esteves,2021,5/19/2021,Public,,,,3.75
241384921,audio,Columba livia,Sharad Apte,2012,6/6/2020,Public,Call,Adult Male – 1,,2.42
560603071,audio,Columba livia,Shilpa Gadgil,2023,4/21/2023,Public,,Adult – 1,,1
95611921,audio,Columba livia,Oliver Burton,2018,4/21/2018,Public,Call,Adult,,2.29
368400021,audio,Columba livia,Sharad Apte,2021,9/11/2021,Public,Call; Song,Adult – 1,,2
373754811,audio,Columba livia,Pedro Fernandes,2021,9/30/2021,Public,,,,2
548276841,audio,Columba livia,Pradnyavant Mane,2023,3/22/2023,Public,"Call; Courtship, Display, or Copulation; Foraging or Eating",,,0
351059041,audio,Columba livia,Robert Hutchinson,2020,6/29/2021,Public,,,,0
123215841,audio,Columba livia,Michael Bowen,2018,11/12/2018,Public,,,,2.55
370669111,audio,Columba livia,Samarth Shadakshari,2021,9/19/2021,Public,Call; Flying; Non-vocal,Adult – 20,,3
119795111,audio,Columba livia,Sara Young,2018,10/21/2018,Public,Call; Non-vocal; Song,Adult,,3.12
198594341,audio,Columba livia,Liam Manderson,2020,1/11/2020,Public,,,,2.3
316571611,audio,Columba livia,David Booth,2021,3/14/2021,Public,,,,2.69
526191951,audio,Columba livia,MANOJ KUMAR MK1,2023,1/20/2023,Public,,,,0
589060081,audio,Columba livia,K J Peters,2023,6/28/2023,Public,,,,0
595882361,audio,Columba livia,Bill Hubick,2023,7/20/2023,Public,,,,0
216100361,audio,Columba livia,JoAnn Potter Riggle 🦤,2020,3/17/2020,Public,,,,3.15
352831931,audio,Columba livia,Jorge Leitão,2017,7/7/2021,Public,,,,0
382002651,audio,Columba livia,Jorge Leitão,2021,10/23/2021,Public,,,,1.67
450488901,audio,Columba livia,Tristan Andrade,2022,5/18/2022,Public,"Courtship, Display, or Copulation; Flying; Non-vocal; Song",Adult Male – 1; Adult – 4,,4
415744971,audio,Columba livia,Robert Russo,2022,2/13/2022,Public,,,,0
363384301,audio,Columba livia,Ajay Sarvagnam,2021,8/23/2021,Public,,,,0
395826801,audio,Columba livia,Sharad Apte,2021,12/13/2021,Public,Song,Adult Male – 1,,3
371605691,audio,Columba livia,Romeu Gama,2021,9/22/2021,Public,,,,0
315239531,audio,Columba livia,Steven Kurniawidjaja,2021,3/9/2021,Public,,,,3.38
319155031,audio,Columba livia,William Whitehead,2021,3/23/2021,Public,Call; Feeding Young,Adult – 2; Immature – 1,,2.67
483346871,audio,Columba livia,Numa Nazar,2022,9/11/2022,Public,Song,Adult Male – 1,,5
445121601,audio,Columba livia,Lisa Huffman,2022,5/7/2022,Public,,Adult – 1,,0
144330731,audio,Columba livia,Paul Marvin,2019,3/8/2019,Public,Song,,,3.55
340378601,audio,Columba livia,Harumi Umi,2021,5/19/2021,Public,,,,0
436255981,audio,Columba livia,Ava Molnar,2022,4/16/2022,Public,"Courtship, Display, or Copulation; Song",Adult Male – 1,,0
241386921,audio,Columba livia,Sharad Apte,2020,6/6/2020,Public,,Adult Male – 1,,2.68
600938851,audio,Columba livia,M Sadat,2023,8/6/2023,Public,,,,3
608262889,audio,Columba livia,Fernando Nunes,2023,8/29/2023,Public,,,,0
470837231,audio,Columba livia,ken mcbyrd-bell,2022,7/28/2022,Public,Non-vocal,,,0
588080691,audio,Columba livia,David Kuster,2023,6/25/2023,Public,,,,5
218910021,audio,Columba livia,Ramesh Shenai,2020,3/28/2020,Public,,,,3.2
258556021,audio,Columba livia,Gustavo Contreras Cuevas,2020,8/28/2020,Public,,,,3.42
466937331,audio,Columba livia,Andrew Core,2020,7/12/2022,Public,,,,
212071231,audio,Columba livia,JoAnn Potter Riggle 🦤,2020,2/27/2020,Public,,,,2.75
483576891,audio,Columba livia,Karen Lebing,2022,9/12/2022,Public,"Call; Courtship, Display, or Copulation",,,3
516708821,audio,Columba livia,Dana Sudborough,2022,12/26/2022,Public,,,,3
496534531,audio,Columba livia,Jim Kirker,2022,10/23/2022,Public,Call,Unknown – 1,,2
83967811,audio,Columba livia,Glen Chapman,2018,1/30/2018,Public,,,,3.39
367025851,audio,Columba livia,Felix Hesse,2021,9/6/2021,Public,,,,0
232706091,audio,Columba livia,Richard Littauer,2020,5/9/2020,Public,Non-vocal; Song,,,2.84
261963431,audio,Columba livia,Richard Littauer,2020,9/11/2020,Public,Song,Adult Male – 1,,1.65
344529281,audio,Columba livia,Ashwath Sivakumar,2021,6/2/2021,Public,Call; Flight Call; Flying; Foraging or Eating,Adult Female – 1,,4
400826981,audio,Columba livia,Matthew Campbell,2021,12/31/2021,Public,,,,0
132534821,audio,Columba livia,Linda Grebe 🦅,2019,1/1/2019,Public,,,,2.04
521319641,audio,Columba livia,African Googre,2022,1/7/2023,Public,,Adult – 1,,1
389099401,audio,Columba livia,Colby Neuman,2021,11/18/2021,Public,,,,0
232174521,audio,Columba livia,Santanu Manna,2020,5/8/2020,Public,,,,2.68
566414911,audio,Columba livia,Chris Ortega,2023,5/3/2023,Public,Song,,,2
423351661,audio,Columba livia,Helio Ruipérez,2022,3/8/2022,Public,,,,3
232299471,audio,Columba livia,Richard Littauer,2020,5/9/2020,Public,Song,Adult Male – 1,,2.65
272720381,audio,Columba livia,Ted Floyd,2020,10/19/2020,Public,,,,2.79
527062311,audio,Columba livia,Michael S Taylor,2022,1/22/2023,Public,"Call; Courtship, Display, or Copulation; Non-vocal",Unknown – 2,,3
162558271,audio,Columba livia,Thomas Koffel,2019,6/3/2019,Public,Song,,,2.78
543523861,audio,Columba livia,Vivek Sudhakaran,2023,3/8/2023,Public,,,,0
576496001,audio,Columba livia,Le Vinh Dang,2023,5/23/2023,Public,,,,0
567484011,audio,Columba livia,Carl Hughes,2023,5/5/2023,Public,,,,0
